,County,Implemented,Year,value,Long,Lat
464,Dania Beach,2011,2002,63,-80.14393,26.05231
465,Deerfield Beach,2000,2002,62.6455,-80.088615,26.329422
466,Fort Lauderdale,2003,2002,62.98,-80.137314,26.12243
467,Hallandale Beach,2001,2002,62.837,-80.146024,25.986719
468,Hillsboro Beach,2007,2002,62.742,-82.35,27.91
469,Hollywoord,2011,2002,62.8985,-80.142967,26.01128
470,Lauderdale By the Sea,2002,2002,62.4175,-80.09643,26.19203
471,Pompano Beach,1999,2002,62.969,-80.122948,26.24354
472,Marco Island,1998,2002,61.6165,-81.714722,25.940556
473,Jacksonville beach,2000,2002,63,-81.655647,30.332184
474,Neptune Beach,1999,2002,62.3855,-81.396606,30.312866
475,Escambia COunty,2013,2002,63,-87.240372,30.433283
476,Flagler COunty,2001,2002,1.5355,-81.3,29.47
477,Franklin County,1998,2002,0.069,-84.82,29.8
478,GUlf COunty,2001,2002,0.144,-85.24,29.9
479,Bonita SPrings,2001,2002,62.631,-81.7787,26.33981
480,Sanibel,1997,2002,20.258,-82.111511,26.443398
481,Anna Maria Island,2003,2002,49.714,-82.719,27.513
482,Bradenton ,1998,2002,62.869,-82.574821,27.498928
483,Golden Beach,1997,2002,62.41,-80.122481,25.964869
484,Miami Beach,2006,2002,63,-80.191788,25.761681
485,Sunny Isles Beach,2009,2002,62.146,-80.12166618,25.93832958
486,Village of Key Biscayne,2009,2002,57.9735,-80.165059,25.6908507
487,Key West,1995,2002,58.955,-81.779984,24.555059
488,Marathon,1994,2002,48.4715,-81.081161,24.723757
489,Monroe,1994,2002,0.018,-80.9372932,25.3128967
490,Village of Islamorada,1998,2002,27.6805,-80.60816423,24.93482959
491,Destin,2004,2002,56.463,-86.495781,30.393534
492,Juno Beach,1998,2002,58.333,-80.05822,26.89307
493,Belleair Beach,2008,2002,60.866,-82.839377,27.924748
494,Clearwater,1999,2002,62.703,-82.796745,27.972572
495,Indian Shores,1994,2002,62.4455,-82.83932998,27.85032993
496,Pinelals County,2004,2002,62.821,-82.74,27.9
497,Redington Shores,2007,2002,61.8815,-82.8249967,27.82349671
498,St. Pete Beach,2007,2002,62.523,-82.741943,27.724722
499,Treasure Island,1999,2002,61.627,-82.759659,27.745003
500,St. Augustine Beach,1995,2002,62.3745,-81.312431,29.901243
501,St. Johns County,1996,2002,48.0225,-81.41,29.91
502,Santa Rosa,2005,2002,16.7215,-86.2288322,30.3960324
503,City of Sarasota,1999,2002,62.9475,-82.546144,27.3370523
504,Sarasota County,1997,2002,5.4885,-82.3331489,27.166997
505,New Smyrna Beach,1999,2002,62.8525,-82.528267,27.341274
506,Walton,2009,2002,61.983,-86.617928,30.418776
507,Bay County,2002,2003,60.925,-85.63,30.24
508,Meixco Beach,2001,2003,18.4795,-85.406361,29.941336
509,Panama City Beach,2009,2003,56.2935,-85.805489,30.176592
510,Dania Beach,2011,2003,62.9295,-80.14393,26.05231
511,Deerfield Beach,2000,2003,63,-80.088615,26.329422
512,Fort Lauderdale,2003,2003,62.9575,-80.137314,26.12243
513,Hallandale Beach,2001,2003,63,-80.146024,25.986719
514,Hillsboro Beach,2007,2003,62.8,-82.35,27.91
515,Hollywoord,2011,2003,63,-80.142967,26.01128
516,Lauderdale By the Sea,2002,2003,62.547,-80.09643,26.19203
517,Pompano Beach,1999,2003,63,-80.122948,26.24354
518,Marco Island,1998,2003,62.135,-81.714722,25.940556
519,Jacksonville beach,2000,2003,62.788,-81.655647,30.332184
520,Neptune Beach,1999,2003,60.9825,-81.396606,30.312866
521,Escambia COunty,2013,2003,62.4075,-87.240372,30.433283
522,Flagler COunty,2001,2003,2.6565,-81.3,29.47
523,Franklin County,1998,2003,0.175,-84.82,29.8
524,GUlf COunty,2001,2003,0.746,-85.24,29.9
525,Bonita SPrings,2001,2003,62.455,-81.7787,26.33981
526,Sanibel,1997,2003,15.002,-82.111511,26.443398
527,Anna Maria Island,2003,2003,44.407,-82.719,27.513
528,Bradenton ,1998,2003,62.8705,-82.574821,27.498928
529,Golden Beach,1997,2003,62.627,-80.122481,25.964869
530,Miami Beach,2006,2003,62.0385,-80.191788,25.761681
531,Sunny Isles Beach,2009,2003,61.7025,-80.12166618,25.93832958
532,Village of Key Biscayne,2009,2003,55.104,-80.165059,25.6908507
533,Key West,1995,2003,58.2585,-81.779984,24.555059
534,Marathon,1994,2003,52.202,-81.081161,24.723757
535,Monroe,1994,2003,0,-80.9372932,25.3128967
536,Village of Islamorada,1998,2003,22.492,-80.60816423,24.93482959
537,Destin,2004,2003,59.0825,-86.495781,30.393534
538,Juno Beach,1998,2003,60.092,-80.05822,26.89307
539,Belleair Beach,2008,2003,60.3685,-82.839377,27.924748
540,Clearwater,1999,2003,62.7145,-82.796745,27.972572
541,Indian Shores,1994,2003,61.1845,-82.83932998,27.85032993
542,Pinelals County,2004,2003,62.825,-82.74,27.9
543,Redington Shores,2007,2003,60.782,-82.8249967,27.82349671
544,St. Pete Beach,2007,2003,61.8305,-82.741943,27.724722
545,Treasure Island,1999,2003,60.433,-82.759659,27.745003
546,St. Augustine Beach,1995,2003,60.9955,-81.312431,29.901243
547,St. Johns County,1996,2003,37.162,-81.41,29.91
548,Santa Rosa,2005,2003,14.1955,-86.2288322,30.3960324
549,City of Sarasota,1999,2003,62.992,-82.546144,27.3370523
550,Sarasota County,1997,2003,5.7435,-82.3331489,27.166997
551,New Smyrna Beach,1999,2003,63,-82.528267,27.341274
552,Walton,2009,2003,62.848,-86.617928,30.418776
553,Bay County,2002,2004,58.1595,-85.63,30.24
554,Meixco Beach,2001,2004,15.8215,-85.406361,29.941336
555,Panama City Beach,2009,2004,55.3955,-85.805489,30.176592
556,Dania Beach,2011,2004,62.7295,-80.14393,26.05231
557,Deerfield Beach,2000,2004,62.7285,-80.088615,26.329422
558,Fort Lauderdale,2003,2004,63,-80.137314,26.12243
559,Hallandale Beach,2001,2004,62.9445,-80.146024,25.986719
560,Hillsboro Beach,2007,2004,63,-82.35,27.91
561,Hollywoord,2011,2004,63,-80.142967,26.01128
562,Lauderdale By the Sea,2002,2004,62.107,-80.09643,26.19203
563,Pompano Beach,1999,2004,63,-80.122948,26.24354
564,Marco Island,1998,2004,62.4855,-81.714722,25.940556
565,Jacksonville beach,2000,2004,62.508,-81.655647,30.332184
566,Neptune Beach,1999,2004,59.3265,-81.396606,30.312866
567,Escambia COunty,2013,2004,61.215,-87.240372,30.433283
568,Flagler COunty,2001,2004,3.9015,-81.3,29.47
569,Franklin County,1998,2004,0,-84.82,29.8
570,GUlf COunty,2001,2004,0.2735,-85.24,29.9
571,Bonita SPrings,2001,2004,62.8585,-81.7787,26.33981
572,Sanibel,1997,2004,17.3635,-82.111511,26.443398
573,Anna Maria Island,2003,2004,40.1875,-82.719,27.513
574,Bradenton ,1998,2004,62.845,-82.574821,27.498928
575,Golden Beach,1997,2004,62.3915,-80.122481,25.964869
576,Miami Beach,2006,2004,62.2245,-80.191788,25.761681
577,Sunny Isles Beach,2009,2004,62.268,-80.12166618,25.93832958
578,Village of Key Biscayne,2009,2004,55.4075,-80.165059,25.6908507
579,Key West,1995,2004,58.9235,-81.779984,24.555059
580,Marathon,1994,2004,47.3565,-81.081161,24.723757
581,Monroe,1994,2004,0,-80.9372932,25.3128967
582,Village of Islamorada,1998,2004,21.734,-80.60816423,24.93482959
583,Destin,2004,2004,53.397,-86.495781,30.393534
584,Juno Beach,1998,2004,58.28,-80.05822,26.89307
585,Belleair Beach,2008,2004,58.687,-82.839377,27.924748
586,Clearwater,1999,2004,63,-82.796745,27.972572
587,Indian Shores,1994,2004,61.293,-82.83932998,27.85032993
588,Pinelals County,2004,2004,63,-82.74,27.9
589,Redington Shores,2007,2004,60.799,-82.8249967,27.82349671
590,St. Pete Beach,2007,2004,61.5885,-82.741943,27.724722
591,Treasure Island,1999,2004,60.5545,-82.759659,27.745003
592,St. Augustine Beach,1995,2004,60.4675,-81.312431,29.901243
593,St. Johns County,1996,2004,36.789,-81.41,29.91
594,Santa Rosa,2005,2004,13.1615,-86.2288322,30.3960324
595,City of Sarasota,1999,2004,62.9765,-82.546144,27.3370523
596,Sarasota County,1997,2004,4.9805,-82.3331489,27.166997
597,New Smyrna Beach,1999,2004,63,-82.528267,27.341274
598,Walton,2009,2004,60.571,-86.617928,30.418776
599,Bay County,2002,2005,58.0155,-85.63,30.24
600,Meixco Beach,2001,2005,13.155,-85.406361,29.941336
601,Panama City Beach,2009,2005,49.3415,-85.805489,30.176592
602,Dania Beach,2011,2005,61.2665,-80.14393,26.05231
603,Deerfield Beach,2000,2005,60.7975,-80.088615,26.329422
604,Fort Lauderdale,2003,2005,62.325,-80.137314,26.12243
605,Hallandale Beach,2001,2005,62.3945,-80.146024,25.986719
606,Hillsboro Beach,2007,2005,62.7155,-82.35,27.91
607,Hollywoord,2011,2005,61.3355,-80.142967,26.01128
608,Lauderdale By the Sea,2002,2005,60.3185,-80.09643,26.19203
609,Pompano Beach,1999,2005,61.3675,-80.122948,26.24354
610,Marco Island,1998,2005,58.746,-81.714722,25.940556
611,Jacksonville beach,2000,2005,62.666,-81.655647,30.332184
612,Neptune Beach,1999,2005,60.8735,-81.396606,30.312866
613,Escambia COunty,2013,2005,62.6485,-87.240372,30.433283
614,Flagler COunty,2001,2005,2.6215,-81.3,29.47
615,Franklin County,1998,2005,0.1715,-84.82,29.8
616,GUlf COunty,2001,2005,0.225,-85.24,29.9
617,Bonita SPrings,2001,2005,62.154,-81.7787,26.33981
618,Sanibel,1997,2005,13.17,-82.111511,26.443398
619,Anna Maria Island,2003,2005,40.8355,-82.719,27.513
620,Bradenton ,1998,2005,62.623,-82.574821,27.498928
621,Golden Beach,1997,2005,61.8375,-80.122481,25.964869
622,Miami Beach,2006,2005,59.693,-80.191788,25.761681
623,Sunny Isles Beach,2009,2005,61.86,-80.12166618,25.93832958
624,Village of Key Biscayne,2009,2005,52.118,-80.165059,25.6908507
625,Key West,1995,2005,54.46,-81.779984,24.555059
626,Marathon,1994,2005,43.4265,-81.081161,24.723757
627,Monroe,1994,2005,0,-80.9372932,25.3128967
628,Village of Islamorada,1998,2005,18.398,-80.60816423,24.93482959
629,Destin,2004,2005,48.9155,-86.495781,30.393534
630,Juno Beach,1998,2005,57.292,-80.05822,26.89307
631,Belleair Beach,2008,2005,58.6885,-82.839377,27.924748
632,Clearwater,1999,2005,63,-82.796745,27.972572
633,Indian Shores,1994,2005,56.9875,-82.83932998,27.85032993
634,Pinelals County,2004,2005,63,-82.74,27.9
635,Redington Shores,2007,2005,57.511,-82.8249967,27.82349671
636,St. Pete Beach,2007,2005,61.52,-82.741943,27.724722
637,Treasure Island,1999,2005,57.9865,-82.759659,27.745003
638,St. Augustine Beach,1995,2005,60.446,-81.312431,29.901243
639,St. Johns County,1996,2005,33.772,-81.41,29.91
640,Santa Rosa,2005,2005,14.5555,-86.2288322,30.3960324
641,City of Sarasota,1999,2005,62.1025,-82.546144,27.3370523
642,Sarasota County,1997,2005,5.026,-82.3331489,27.166997
643,New Smyrna Beach,1999,2005,62.494,-82.528267,27.341274
644,Walton,2009,2005,61.3205,-86.617928,30.418776
645,Bay County,2002,2006,58.6235,-85.63,30.24
646,Meixco Beach,2001,2006,16.5945,-85.406361,29.941336
647,Panama City Beach,2009,2006,54.883,-85.805489,30.176592
648,Dania Beach,2011,2006,62.3385,-80.14393,26.05231
649,Deerfield Beach,2000,2006,62.7095,-80.088615,26.329422
650,Fort Lauderdale,2003,2006,62.404,-80.137314,26.12243
651,Hallandale Beach,2001,2006,62.153,-80.146024,25.986719
652,Hillsboro Beach,2007,2006,63,-82.35,27.91
653,Hollywoord,2011,2006,62.1955,-80.142967,26.01128
654,Lauderdale By the Sea,2002,2006,61.0255,-80.09643,26.19203
655,Pompano Beach,1999,2006,62.623,-80.122948,26.24354
656,Marco Island,1998,2006,59.7025,-81.714722,25.940556
657,Jacksonville beach,2000,2006,62.918,-81.655647,30.332184
658,Neptune Beach,1999,2006,61.406,-81.396606,30.312866
659,Escambia COunty,2013,2006,62.2415,-87.240372,30.433283
660,Flagler COunty,2001,2006,4.348,-81.3,29.47
661,Franklin County,1998,2006,1.1885,-84.82,29.8
662,GUlf COunty,2001,2006,0.0615,-85.24,29.9
663,Bonita SPrings,2001,2006,62.8405,-81.7787,26.33981
664,Sanibel,1997,2006,13.17,-82.111511,26.443398
665,Anna Maria Island,2003,2006,42.5635,-82.719,27.513
666,Bradenton ,1998,2006,63,-82.574821,27.498928
667,Golden Beach,1997,2006,61.081,-80.122481,25.964869
668,Miami Beach,2006,2006,61.534,-80.191788,25.761681
669,Sunny Isles Beach,2009,2006,60.4375,-80.12166618,25.93832958
670,Village of Key Biscayne,2009,2006,52.793,-80.165059,25.6908507
671,Key West,1995,2006,55.5145,-81.779984,24.555059
672,Marathon,1994,2006,47.8995,-81.081161,24.723757
673,Monroe,1994,2006,0.025,-80.9372932,25.3128967
674,Village of Islamorada,1998,2006,18.808,-80.60816423,24.93482959
675,Destin,2004,2006,53.366,-86.495781,30.393534
676,Juno Beach,1998,2006,57.624,-80.05822,26.89307
677,Belleair Beach,2008,2006,58.2985,-82.839377,27.924748
678,Clearwater,1999,2006,62.419,-82.796745,27.972572
679,Indian Shores,1994,2006,59.401,-82.83932998,27.85032993
680,Pinelals County,2004,2006,62.9755,-82.74,27.9
681,Redington Shores,2007,2006,59.262,-82.8249967,27.82349671
682,St. Pete Beach,2007,2006,61.804,-82.741943,27.724722
683,Treasure Island,1999,2006,59.595,-82.759659,27.745003
684,St. Augustine Beach,1995,2006,61.4855,-81.312431,29.901243
685,St. Johns County,1996,2006,33.0685,-81.41,29.91
686,Santa Rosa,2005,2006,15.944,-86.2288322,30.3960324
687,City of Sarasota,1999,2006,62.7275,-82.546144,27.3370523
688,Sarasota County,1997,2006,4.342,-82.3331489,27.166997
689,New Smyrna Beach,1999,2006,63,-82.528267,27.341274
690,Walton,2009,2006,60.6365,-86.617928,30.418776
691,Bay County,2002,2007,57.3575,-85.63,30.24
692,Meixco Beach,2001,2007,18.374,-85.406361,29.941336
693,Panama City Beach,2009,2007,49.7565,-85.805489,30.176592
694,Dania Beach,2011,2007,62.148,-80.14393,26.05231
695,Deerfield Beach,2000,2007,62.2085,-80.088615,26.329422
696,Fort Lauderdale,2003,2007,62.5275,-80.137314,26.12243
697,Hallandale Beach,2001,2007,62.894,-80.146024,25.986719
698,Hillsboro Beach,2007,2007,61.521,-82.35,27.91
699,Hollywoord,2011,2007,62.139,-80.142967,26.01128
700,Lauderdale By the Sea,2002,2007,60.178,-80.09643,26.19203
701,Pompano Beach,1999,2007,62.5,-80.122948,26.24354
702,Marco Island,1998,2007,57.8825,-81.714722,25.940556
703,Jacksonville beach,2000,2007,62.108,-81.655647,30.332184
704,Neptune Beach,1999,2007,59.1375,-81.396606,30.312866
705,Escambia COunty,2013,2007,62.526,-87.240372,30.433283
706,Flagler COunty,2001,2007,3.2445,-81.3,29.47
707,Franklin County,1998,2007,0.07,-84.82,29.8
708,GUlf COunty,2001,2007,0.5895,-85.24,29.9
709,Bonita SPrings,2001,2007,60.843,-81.7787,26.33981
710,Sanibel,1997,2007,14.4255,-82.111511,26.443398
711,Anna Maria Island,2003,2007,40.5665,-82.719,27.513
712,Bradenton ,1998,2007,62.912,-82.574821,27.498928
713,Golden Beach,1997,2007,60.99,-80.122481,25.964869
714,Miami Beach,2006,2007,60.017,-80.191788,25.761681
715,Sunny Isles Beach,2009,2007,59.775,-80.12166618,25.93832958
716,Village of Key Biscayne,2009,2007,52.3335,-80.165059,25.6908507
717,Key West,1995,2007,52.371,-81.779984,24.555059
718,Marathon,1994,2007,48.6145,-81.081161,24.723757
719,Monroe,1994,2007,0.023,-80.9372932,25.3128967
720,Village of Islamorada,1998,2007,19.487,-80.60816423,24.93482959
721,Destin,2004,2007,51.8855,-86.495781,30.393534
722,Juno Beach,1998,2007,55.1055,-80.05822,26.89307
723,Belleair Beach,2008,2007,59.2565,-82.839377,27.924748
724,Clearwater,1999,2007,62.8775,-82.796745,27.972572
725,Indian Shores,1994,2007,60.1745,-82.83932998,27.85032993
726,Pinelals County,2004,2007,63,-82.74,27.9
727,Redington Shores,2007,2007,58.071,-82.8249967,27.82349671
728,St. Pete Beach,2007,2007,59.508,-82.741943,27.724722
729,Treasure Island,1999,2007,57.218,-82.759659,27.745003
730,St. Augustine Beach,1995,2007,58.561,-81.312431,29.901243
731,St. Johns County,1996,2007,32.339,-81.41,29.91
732,Santa Rosa,2005,2007,17.757,-86.2288322,30.3960324
733,City of Sarasota,1999,2007,61.875,-82.546144,27.3370523
734,Sarasota County,1997,2007,4.6605,-82.3331489,27.166997
735,New Smyrna Beach,1999,2007,62.1665,-82.528267,27.341274
736,Walton,2009,2007,61.647,-86.617928,30.418776
737,Bay County,2002,2008,61.8725,-85.63,30.24
738,Meixco Beach,2001,2008,19.1025,-85.406361,29.941336
739,Panama City Beach,2009,2008,43.905,-85.805489,30.176592
740,Dania Beach,2011,2008,63,-80.14393,26.05231
741,Deerfield Beach,2000,2008,62.8015,-80.088615,26.329422
742,Fort Lauderdale,2003,2008,63,-80.137314,26.12243
743,Hallandale Beach,2001,2008,62.9785,-80.146024,25.986719
744,Hillsboro Beach,2007,2008,63,-82.35,27.91
745,Hollywoord,2011,2008,63,-80.142967,26.01128
746,Lauderdale By the Sea,2002,2008,62.4855,-80.09643,26.19203
747,Pompano Beach,1999,2008,63,-80.122948,26.24354
748,Marco Island,1998,2008,59.1375,-81.714722,25.940556
749,Jacksonville beach,2000,2008,63,-81.655647,30.332184
750,Neptune Beach,1999,2008,62.72,-81.396606,30.312866
751,Escambia COunty,2013,2008,62.029,-87.240372,30.433283
752,Flagler COunty,2001,2008,2.6375,-81.3,29.47
753,Franklin County,1998,2008,0.813,-84.82,29.8
754,GUlf COunty,2001,2008,0.0655,-85.24,29.9
755,Bonita SPrings,2001,2008,63,-81.7787,26.33981
756,Sanibel,1997,2008,14.9335,-82.111511,26.443398
757,Anna Maria Island,2003,2008,45.6525,-82.719,27.513
758,Bradenton ,1998,2008,63,-82.574821,27.498928
759,Golden Beach,1997,2008,62.787,-80.122481,25.964869
760,Miami Beach,2006,2008,60.75,-80.191788,25.761681
761,Sunny Isles Beach,2009,2008,62.1205,-80.12166618,25.93832958
762,Village of Key Biscayne,2009,2008,54.8825,-80.165059,25.6908507
763,Key West,1995,2008,54.9765,-81.779984,24.555059
764,Marathon,1994,2008,53.603,-81.081161,24.723757
765,Monroe,1994,2008,0.0945,-80.9372932,25.3128967
766,Village of Islamorada,1998,2008,20.0695,-80.60816423,24.93482959
767,Destin,2004,2008,51.6265,-86.495781,30.393534
768,Juno Beach,1998,2008,61.078,-80.05822,26.89307
769,Belleair Beach,2008,2008,60.746,-82.839377,27.924748
770,Clearwater,1999,2008,63,-82.796745,27.972572
771,Indian Shores,1994,2008,60.022,-82.83932998,27.85032993
772,Pinelals County,2004,2008,62.9765,-82.74,27.9
773,Redington Shores,2007,2008,57.5155,-82.8249967,27.82349671
774,St. Pete Beach,2007,2008,60.8335,-82.741943,27.724722
775,Treasure Island,1999,2008,54.5575,-82.759659,27.745003
776,St. Augustine Beach,1995,2008,61.42,-81.312431,29.901243
777,St. Johns County,1996,2008,33.548,-81.41,29.91
778,Santa Rosa,2005,2008,20.487,-86.2288322,30.3960324
779,City of Sarasota,1999,2008,62.61,-82.546144,27.3370523
780,Sarasota County,1997,2008,3.5155,-82.3331489,27.166997
781,New Smyrna Beach,1999,2008,62.7155,-82.528267,27.341274
782,Walton,2009,2008,61.7085,-86.617928,30.418776
783,Bay County,2002,2009,57.2,-85.63,30.24
784,Meixco Beach,2001,2009,18.719,-85.406361,29.941336
785,Panama City Beach,2009,2009,59.115,-85.805489,30.176592
786,Dania Beach,2011,2009,63,-80.14393,26.05231
787,Deerfield Beach,2000,2009,63,-80.088615,26.329422
788,Fort Lauderdale,2003,2009,61.853,-80.137314,26.12243
789,Hallandale Beach,2001,2009,63,-80.146024,25.986719
790,Hillsboro Beach,2007,2009,63,-82.35,27.91
791,Hollywoord,2011,2009,63,-80.142967,26.01128
792,Lauderdale By the Sea,2002,2009,61.343,-80.09643,26.19203
793,Pompano Beach,1999,2009,63,-80.122948,26.24354
794,Marco Island,1998,2009,62.622,-81.714722,25.940556
795,Jacksonville beach,2000,2009,63,-81.655647,30.332184
796,Neptune Beach,1999,2009,60.294,-81.396606,30.312866
797,Escambia COunty,2013,2009,63,-87.240372,30.433283
798,Flagler COunty,2001,2009,8.206,-81.3,29.47
799,Franklin County,1998,2009,0.233,-84.82,29.8
800,GUlf COunty,2001,2009,0,-85.24,29.9
801,Bonita SPrings,2001,2009,63,-81.7787,26.33981
802,Sanibel,1997,2009,14.286,-82.111511,26.443398
803,Anna Maria Island,2003,2009,39.629,-82.719,27.513
804,Bradenton ,1998,2009,63,-82.574821,27.498928
805,Golden Beach,1997,2009,62.788,-80.122481,25.964869
806,Miami Beach,2006,2009,63,-80.191788,25.761681
807,Sunny Isles Beach,2009,2009,62,-80.12166618,25.93832958
808,Village of Key Biscayne,2009,2009,55.647,-80.165059,25.6908507
809,Key West,1995,2009,58.375,-81.779984,24.555059
810,Marathon,1994,2009,51.294,-81.081161,24.723757
811,Monroe,1994,2009,0,-80.9372932,25.3128967
812,Village of Islamorada,1998,2009,29.116,-80.60816423,24.93482959
813,Destin,2004,2009,60.731,-86.495781,30.393534
814,Juno Beach,1998,2009,56.46,-80.05822,26.89307
815,Belleair Beach,2008,2009,61.059,-82.839377,27.924748
816,Clearwater,1999,2009,63,-82.796745,27.972572
817,Indian Shores,1994,2009,62.245,-82.83932998,27.85032993
818,Pinelals County,2004,2009,63,-82.74,27.9
819,Redington Shores,2007,2009,59.526,-82.8249967,27.82349671
820,St. Pete Beach,2007,2009,59.199,-82.741943,27.724722
821,Treasure Island,1999,2009,57.382,-82.759659,27.745003
822,St. Augustine Beach,1995,2009,60.875,-81.312431,29.901243
823,St. Johns County,1996,2009,50.613,-81.41,29.91
824,Santa Rosa,2005,2009,18.692,-86.2288322,30.3960324
825,City of Sarasota,1999,2009,63,-82.546144,27.3370523
826,Sarasota County,1997,2009,2.19,-82.3331489,27.166997
827,New Smyrna Beach,1999,2009,63,-82.528267,27.341274
828,Walton,2009,2009,63,-86.617928,30.418776
829,Bay County,2002,2010,60.769,-85.63,30.24
830,Meixco Beach,2001,2010,24.482,-85.406361,29.941336
831,Panama City Beach,2009,2010,61.882,-85.805489,30.176592
832,Dania Beach,2011,2010,63,-80.14393,26.05231
833,Deerfield Beach,2000,2010,62.922,-80.088615,26.329422
834,Fort Lauderdale,2003,2010,62.906,-80.137314,26.12243
835,Hallandale Beach,2001,2010,63,-80.146024,25.986719
836,Hillsboro Beach,2007,2010,63,-82.35,27.91
837,Hollywoord,2011,2010,62.742,-80.142967,26.01128
838,Lauderdale By the Sea,2002,2010,60.318,-80.09643,26.19203
839,Pompano Beach,1999,2010,63,-80.122948,26.24354
840,Marco Island,1998,2010,61.39,-81.714722,25.940556
841,Jacksonville beach,2000,2010,62.885,-81.655647,30.332184
842,Neptune Beach,1999,2010,59.534,-81.396606,30.312866
843,Escambia COunty,2013,2010,63,-87.240372,30.433283
844,Flagler COunty,2001,2010,14.502,-81.3,29.47
845,Franklin County,1998,2010,0.942,-84.82,29.8
846,GUlf COunty,2001,2010,0.419,-85.24,29.9
847,Bonita SPrings,2001,2010,63,-81.7787,26.33981
848,Sanibel,1997,2010,18.559,-82.111511,26.443398
849,Anna Maria Island,2003,2010,54.672,-82.719,27.513
850,Bradenton ,1998,2010,63,-82.574821,27.498928
851,Golden Beach,1997,2010,61.954,-80.122481,25.964869
852,Miami Beach,2006,2010,63,-80.191788,25.761681
853,Sunny Isles Beach,2009,2010,61.188,-80.12166618,25.93832958
854,Village of Key Biscayne,2009,2010,57.783,-80.165059,25.6908507
855,Key West,1995,2010,55.304,-81.779984,24.555059
856,Marathon,1994,2010,52.052,-81.081161,24.723757
857,Monroe,1994,2010,0,-80.9372932,25.3128967
858,Village of Islamorada,1998,2010,27.61,-80.60816423,24.93482959
859,Destin,2004,2010,61.234,-86.495781,30.393534
860,Juno Beach,1998,2010,52.597,-80.05822,26.89307
861,Belleair Beach,2008,2010,63,-82.839377,27.924748
862,Clearwater,1999,2010,63,-82.796745,27.972572
863,Indian Shores,1994,2010,62.65,-82.83932998,27.85032993
864,Pinelals County,2004,2010,63,-82.74,27.9
865,Redington Shores,2007,2010,62.093,-82.8249967,27.82349671
866,St. Pete Beach,2007,2010,62.866,-82.741943,27.724722
867,Treasure Island,1999,2010,62.59,-82.759659,27.745003
868,St. Augustine Beach,1995,2010,61.045,-81.312431,29.901243
869,St. Johns County,1996,2010,55.924,-81.41,29.91
870,Santa Rosa,2005,2010,27.492,-86.2288322,30.3960324
871,City of Sarasota,1999,2010,63,-82.546144,27.3370523
872,Sarasota County,1997,2010,2.65,-82.3331489,27.166997
873,New Smyrna Beach,1999,2010,63,-82.528267,27.341274
874,Walton,2009,2010,62.787,-86.617928,30.418776
875,Bay County,2002,2011,62.596,-85.63,30.24
876,Meixco Beach,2001,2011,21.118,-85.406361,29.941336
877,Panama City Beach,2009,2011,59.455,-85.805489,30.176592
878,Dania Beach,2011,2011,63,-80.14393,26.05231
879,Deerfield Beach,2000,2011,63,-80.088615,26.329422
880,Fort Lauderdale,2003,2011,63,-80.137314,26.12243
881,Hallandale Beach,2001,2011,63,-80.146024,25.986719
882,Hillsboro Beach,2007,2011,63,-82.35,27.91
883,Hollywoord,2011,2011,63,-80.142967,26.01128
884,Lauderdale By the Sea,2002,2011,62.871,-80.09643,26.19203
885,Pompano Beach,1999,2011,63,-80.122948,26.24354
886,Marco Island,1998,2011,61.317,-81.714722,25.940556
887,Jacksonville beach,2000,2011,63,-81.655647,30.332184
888,Neptune Beach,1999,2011,62.951,-81.396606,30.312866
889,Escambia COunty,2013,2011,63,-87.240372,30.433283
890,Flagler COunty,2001,2011,4.764,-81.3,29.47
891,Franklin County,1998,2011,0.339,-84.82,29.8
892,GUlf COunty,2001,2011,0,-85.24,29.9
893,Bonita SPrings,2001,2011,63,-81.7787,26.33981
894,Sanibel,1997,2011,17,-82.111511,26.443398
895,Anna Maria Island,2003,2011,49.564,-82.719,27.513
896,Bradenton ,1998,2011,63,-82.574821,27.498928
897,Golden Beach,1997,2011,63,-80.122481,25.964869
898,Miami Beach,2006,2011,62.985,-80.191788,25.761681
899,Sunny Isles Beach,2009,2011,63,-80.12166618,25.93832958
900,Village of Key Biscayne,2009,2011,59.903,-80.165059,25.6908507
901,Key West,1995,2011,61.083,-81.779984,24.555059
902,Marathon,1994,2011,49.892,-81.081161,24.723757
903,Monroe,1994,2011,0,-80.9372932,25.3128967
904,Village of Islamorada,1998,2011,27.238,-80.60816423,24.93482959
905,Destin,2004,2011,59.309,-86.495781,30.393534
906,Juno Beach,1998,2011,61.288,-80.05822,26.89307
907,Belleair Beach,2008,2011,59.037,-82.839377,27.924748
908,Clearwater,1999,2011,63,-82.796745,27.972572
909,Indian Shores,1994,2011,60.807,-82.83932998,27.85032993
910,Pinelals County,2004,2011,63,-82.74,27.9
911,Redington Shores,2007,2011,61.123,-82.8249967,27.82349671
912,St. Pete Beach,2007,2011,62.627,-82.741943,27.724722
913,Treasure Island,1999,2011,59.667,-82.759659,27.745003
914,St. Augustine Beach,1995,2011,62.93,-81.312431,29.901243
915,St. Johns County,1996,2011,48.037,-81.41,29.91
916,Santa Rosa,2005,2011,19.273,-86.2288322,30.3960324
917,City of Sarasota,1999,2011,63,-82.546144,27.3370523
918,Sarasota County,1997,2011,4.727,-82.3331489,27.166997
919,New Smyrna Beach,1999,2011,63,-82.528267,27.341274
920,Walton,2009,2011,63,-86.617928,30.418776
